  MICHAEL SCHÄR  ,116,CCC TEAM  ,'05h 17'' 42'''''
  HAROLD TEJADA  ,148,ASTANA PRO TEAM  ,'05h 17'' 42'''''
  JENS KEUKELEIRE  ,75,EF PRO CYCLING  ,'05h 17'' 42'''''
  JONATHAN CASTROVIEJO  ,4,INEOS GRENADIERS  ,'05h 17'' 42'''''
  EDVALD BOASSON HAGEN  ,192,NTT PRO CYCLING TEAM  ,'05h 17'' 42'''''
  DRIES DEVENYNS  ,46,DECEUNINCK - QUICK - STEP  ,'05h 18'' 08'''''
  JASPER DE BUYST  ,153,LOTTO SOUDAL  ,'05h 18'' 13'''''
  SÉBASTIEN REICHENBACH  ,58,GROUPAMA - FDJ  ,'05h 18'' 22'''''
  ROGER KLUGE  ,158,LOTTO SOUDAL  ,'05h 18'' 53'''''
  CHRISTOPHER JUUL JENSEN  ,166,MITCHELTON - SCOTT  ,'05h 19'' 05'''''
  LUKE ROWE  ,6,INEOS GRENADIERS  ,'05h 19'' 19'''''
  CARLOS VERONA  ,98,MOVISTAR TEAM  ,'05h 20'' 07'''''
  ROMAN KREUZIGER  ,196,NTT PRO CYCLING TEAM  ,'05h 20'' 32'''''
  FREDERIK FRISON  ,156,LOTTO SOUDAL  ,'05h 20'' 32'''''
  MICHAEL GOGL  ,194,NTT PRO CYCLING TEAM  ,'05h 20'' 32'''''
  FABIEN GRELLIER  ,185,TOTAL DIRECT ENERGIE  ,'05h 20'' 32'''''
  WILLIAM BONNET  ,52,GROUPAMA - FDJ  ,'05h 20'' 32'''''
  TIM DECLERCQ  ,45,DECEUNINCK - QUICK - STEP  ,'05h 20'' 32'''''
  GEOFFREY SOUPE  ,187,TOTAL DIRECT ENERGIE  ,'05h 20'' 32'''''
  DAVID DE LA CRUZ  ,133,UAE TEAM EMIRATES  ,'05h 20'' 32'''''
  JAN HIRT  ,114,CCC TEAM  ,'05h 20'' 32'''''
  ALESSANDRO DE MARCHI  ,112,CCC TEAM  ,'05h 21'' 24'''''
  PAVEL SIVAKOV  ,7,INEOS GRENADIERS  ,'05h 22'' 53'''''
  MICHAL KWIATKOWSKI  ,5,INEOS GRENADIERS  ,'05h 22'' 53'''''
  WINNER ANACONA  ,82,TEAM ARKEA - SAMSIC  ,'05h 22'' 53'''''
  WOUTER POELS  ,67,BAHRAIN - MCLAREN  ,'05h 22'' 53'''''
  BENOIT COSNEFROY  ,33,AG2R LA MONDIALE  ,'05h 22'' 53'''''
  RÉMI CAVAGNA  ,44,DECEUNINCK - QUICK - STEP  ,'05h 22'' 53'''''
  MIKAEL CHEREL  ,32,AG2R LA MONDIALE  ,'05h 22'' 53'''''
  WOUT VAN AERT  ,18,TEAM JUMBO - VISMA  ,'05h 22'' 53'''''
  TONY MARTIN  ,17,TEAM JUMBO - VISMA  ,'05h 22'' 53'''''
  JÉRÔME COUSIN  ,184,TOTAL DIRECT ENERGIE  ,'05h 22'' 53'''''
  DAYER QUINTANA  ,85,TEAM ARKEA - SAMSIC  ,'05h 22'' 53'''''
  LUKAS PÖSTLBERGER  ,27,BORA - HANSGROHE  ,'05h 25'' 14'''''
